Urchin #,Treatment,# Phagocytes,"# Phagocytosing
Phagocytes","# Yeast
 Phagocytosed","Phagocytic
Capacity"
1,23/7.6,100,28,28,28
,,,,,
2,23/7.6,100,42,42,42
,,,,,
3,23/7.6,100,36,36,36
,,,,,
4,23/7.6,100,27,27,27
,,,,,
5,23/7.6,100,33,33,33
,,,,,
6,17/7.6,100,4,4,4
,,,,,
7,17/7.6,100,21,21,21
,,,,,
8,17/7.6,100,4,4,4
,,,,,
9,17/7.6,100,5,5,5
,,,,,
10,17/7.6,100,6,7,6
,,,,,
11,23/8.1,100,18,18,18
,,,,,
12,23/8.1,100,24,24,24
,,,,,
13,23/8.1,100,39,39,39
,,,,,
14,23/8.1,100,29,29,29
,,,,,
15,23/8.1,100,25,25,25
,,,,,
16,17/8.1,100,21,21,21
,,,,,
17,17/8.1,100,45,45,45
,,,,,
18,17/8.1,100,21,21,21
,,,,,
19,17/8.1,100,31,31,31
,,,,,
20,17/8.1,100,27,27,27
